"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	280.012
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	297.644
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	285.584
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	290.759
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	284.788
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	296.272
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	284.493
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	149.567
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	146.269
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	276.759
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	271.602
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	266.989
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	287.351
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	291.797
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	289.227
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	276.209
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	285.761
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	286.672
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	287.926
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	18.244
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	29.253
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	15.234
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	58.992
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	10.904
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	21.838
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	3.589
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	153.279
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	6.931
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	291.505
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	88.816
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	34.34
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	201.329
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	5.865
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	9.963
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	7.908
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	5.717
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	366.836
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	15.299
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	6.119
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	160
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K01955; carbamoyl-phosphate synthase large
subunit [EC:6.3.5.5]"	217.048
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	281.28
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	284.7
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	279.709
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	183.984
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	223.753
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	212.37
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	240.02
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	250.054
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	274.288
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	240.047
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	250.777
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	259.605
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	250.691
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	257.662
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	128.965
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	130.549
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	196.585
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	226.602
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	231.27
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	270.806
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	246.316
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	250.068
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	230.456
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	265.407
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	260.301
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	251.182
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	13.894
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	18.318
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	14.633
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	40.909
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	12.606
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	22.102
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	4.33
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	175.861
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	8.736
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	508.173
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	145.098
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	59.203
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	250.909
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	5.43
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	9.581
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	12.442
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	6.516
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	513.896
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	16.721
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	14.846
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	247.219
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K01956; carbamoyl-phosphate synthase small
subunit [EC:6.3.5.5]"	294.62
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	272.329
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	279.41
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	278.286
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	226.281
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	242.463
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	193.4
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	238.464
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	255.887
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	259.534
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	246.761
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	253.478
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	262.152
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	249.436
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	242.082
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	136.687
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	130.026
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	175.223
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	226.363
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	232.831
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	259.004
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	249.657
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	247.455
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	225.085
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	264.841
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	266.165
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	252.289
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	15.182
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	23.796
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	18.321
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	28.263
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	6.979
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	10.173
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	4.064
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	231.798
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	5.448
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	388.668
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	134.192
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	21.345
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	207.542
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	2.072
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	5.738
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	3.168
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	4.27
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	353
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	12.787
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	5.746
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	128.428
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K01755; argininosuccinate lyase [EC:4.3.2.1]"	202.876
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	79.749
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	82.026
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	72.323
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	246.298
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	225.017
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	207.421
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	75.343
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	87.896
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	83.636
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	144.545
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	111.817
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K00265; glutamate synthase (NADPH) large chain
[EC:1.4.1.13]"	124.588
