"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	635.335
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	576.65
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	365.727
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	349.737
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	484.547
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	604.325
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	601.596
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	693.66
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	551.828
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	549.495
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	625.307
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	668.013
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	688.595
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	645.958
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	31.757
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	45.883
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	34.883
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	200.791
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	20.848
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	35.355
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	28.386
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	233.205
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	23.763
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	128.969
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	216.427
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	171.09
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	325.781
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	12.302
