"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"	"kegg_ID_custom_order"
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	8.24568457168762	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	4.24618439482652	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	11.1870944950861	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	29.1650273616986	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	25.7507148163858	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	301.191618026963	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	11.2760458162352	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	13.8455551319721	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	21.3800139042394	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	570.86187306814	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K10945; methane/ammonia monooxygenase subunit B"	592.794615360428	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K10945; methane/ammonia monooxygenase subunit B"	613.129503242945	"K10945; methane/ammonia monooxygenase subunit B"
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K10945; methane/ammonia monooxygenase subunit B"	16.9524373179631	"K10945; methane/ammonia monooxygenase subunit B"
