"Sample_name"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"Genome bin"	"percent"
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	3	"MEGAHIT-MaxBin2Refined-group-4.002"	1.9095069744514
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	77.0913834260343
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"Week 8"	"Nitrate reduction"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	6.35514133807818
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"Week 8"	"Sulphate reduction"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	0.5226126726055
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"Week 8"	"Sulphate reduction"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	61.0051802147139
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	3	"MEGAHIT-MaxBin2Refined-group-4.002"	50.7891237216475
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	0.00632282671260354
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	0.00295387779958594
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	3	"MEGAHIT-MaxBin2Refined-group-5.004"	0.00878827330918304
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	0.0275606824927566
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	0.0298671301187297
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	3	"MEGAHIT-MaxBin2Refined-group-5.004"	0.106962917048371
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	0.604785820840668
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	20.6681526658108
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	3	"MEGAHIT-MaxBin2Refined-group-5.004"	3.8651690129166
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	1.62446045658465
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	22.9937276728416
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	1.78385427016825
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	16.4852780047471
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	0.00503030087584182
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	0.01286501973082
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	3	"MEGAHIT-MaxBin2Refined-group-5.004"	0.0413350077750664
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"Week 8"	"Iron reduction"	3	"MEGAHIT-MaxBin2Refined-group-5.004"	2.0044396176568
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"Week 8"	"Nitrate reduction"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	0.928079585676057
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"Week 8"	"Nitrate reduction"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	3.93466240810491
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"Week 8"	"Sulphate reduction"	1	"MEGAHIT-MaxBin2Refined-group-5.004"	0.0335287923987739
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"Week 8"	"Sulphate reduction"	2	"MEGAHIT-MaxBin2Refined-group-5.004"	22.2437415481823
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	3	"MEGAHIT-MaxBin2Refined-group-5.004"	4.97682642885384
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.013338672609224
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.014460994085615
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	3	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0119549748095662
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	34.6747346699269
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.171611746215042
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	3	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0193250896465536
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.00915892356787341
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0122918456280564
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	3	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0196422538581785
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0104754593942018
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.016287461495679
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	1	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0196585833131736
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	2	"MEGAHIT-MetaBAT2Refined-group-2.27"	0.0145178776977876
