Nitrifying_Week8_Sulphatereduction_rep3_DNA	NitrifyingPelletDNA_Week8_Sulphatereduction_DNARNAkit_rep3_S26_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Sulphatereduction_rep3_DNA	NitrifyingPelletDNA_Week8_Sulphatereduction_DNARNAkit_rep3_S26_cleaned_R2.fastq.gz	pair2		
Nitrifying_NegativeDNA	Nitrifying_NucleasefreewaterDNA_DNARNAkit_S28_cleaned_R1.fastq.gz	pair1		
Nitrifying_NegativeDNA	Nitrifying_NucleasefreewaterDNA_DNARNAkit_S28_cleaned_R2.fastq.gz	pair2		
Nitrifying_PositiveDNA	Nitrifying_ZymoCommunityStdDNA_DNARNAkit_S27_cleaned_R1.fastq.gz	pair1		
Nitrifying_PositiveDNA	Nitrifying_ZymoCommunityStdDNA_DNARNAkit_S27_cleaned_R2.fastq.gz	pair2		
Nitrifying_NegativeRNA	Nitrifying_NucleasefreewaterRNA_S23_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_NegativeRNA	Nitrifying_NucleasefreewaterRNA_S23_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Day0_rep1_RNA	Nitrifying_PelletRNA_Day0_DNARNAkit_rep1_S1_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Day0_rep1_RNA	Nitrifying_PelletRNA_Day0_DNARNAkit_rep1_S1_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Day0_rep2_RNA	Nitrifying_PelletRNA_Day0_DNARNAkit_rep2_S2_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Day0_rep2_RNA	Nitrifying_PelletRNA_Day0_DNARNAkit_rep2_S2_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Day0_rep3_RNA	Nitrifying_PelletRNA_Day0_DNARNAkit_rep3_S3_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Day0_rep3_RNA	Nitrifying_PelletRNA_Day0_DNARNAkit_rep3_S3_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Aerobic_rep1_RNA	Nitrifying_PelletRNA_Week4_Aerobic_tube4_rep1_S4_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Aerobic_rep1_RNA	Nitrifying_PelletRNA_Week4_Aerobic_tube4_rep1_S4_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
Nitrifying_Week4_Aerobic_rep2_RNA	Nitrifying_PelletRNA_Week4_Aerobic_tube5_rep2_S5_cleaned_R1.fastq.gz	pair1	noassembly	nobinning
Nitrifying_Week4_Aerobic_rep2_RNA	Nitrifying_PelletRNA_Week4_Aerobic_tube5_rep2_S5_cleaned_R2.fastq.gz	pair2	noassembly	nobinning
